# Scalar ASCII output created by CarpetIOScalar
# created on ekohaes8.ncsa.illinois.edu by rhaas on Feb 05 2018 at 14:10:40-0600
# parameter filename: "tov.par"
# Build ID: build-sim-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-03.09.30-62672
# Simulation ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
# Run ID: run-tov-ekohaes8.ncsa.illinois.edu-rhaas-2018.02.05-20.10.27-6246
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
315904 617 0.00115873889582138
316416 618 0.00115856500860125
316928 619 0.00115840758369111
317440 620 0.00115826720198643
317952 621 0.00115814306730032
318464 622 0.0011580345012378
318976 623 0.00115794188861391
319488 624 0.00115786527595152
320000 625 0.0011578040272054
320512 626 0.00115775806357087
321024 627 0.00115772792937823
321536 628 0.00115771354675208
322048 629 0.00115771463010548
322560 630 0.00115773159582625
323072 631 0.00115776467733464
323584 632 0.00115781363738104
324096 633 0.00115787849753219
324608 634 0.00115795931972317
325120 635 0.00115805558929919
325632 636 0.00115816671404433
326144 637 0.00115829255919153
326656 638 0.00115843246890076
327168 639 0.00115858521517957
327680 640 0.00115875017372324
328192 641 0.00115892657602997
328704 642 0.00115911276625283
329216 643 0.00115930787694005
329728 644 0.00115951228806658
330240 645 0.00115972574276457
330752 646 0.00115994776484514
331264 647 0.00116017923004951
331776 648 0.00116042112445429
332288 649 0.00116067325371038
332800 650 0.00116093543148964
333312 651 0.00116120813553706
333824 652 0.0011614908875916
334336 653 0.00116178210348319
334848 654 0.00116208082440518
335360 655 0.00116238639324281
335872 656 0.00116269724919908
336384 657 0.0011630119445531
336896 658 0.00116332988350077
337408 659 0.00116365028251538
337920 660 0.00116397203490752
338432 661 0.00116429439335633
338944 662 0.00116461682231146
339456 663 0.0011649384810776
339968 664 0.00116525839582359
340480 665 0.00116557585954325
340992 666 0.00116589002412467
341504 667 0.00116619976846013
342016 668 0.0011665044145142
342528 669 0.00116680350796817
343040 670 0.00116709614156035
343552 671 0.00116738175392058
344064 672 0.00116766046618949
344576 673 0.00116793178300021
345088 674 0.0011681949109881
345600 675 0.00116844997055256
346112 676 0.00116869693593994
346624 677 0.00116893482305677
347136 678 0.00116916308077748
347648 679 0.00116938186290847
348160 680 0.00116959063399046
348672 681 0.00116978840152611
349184 682 0.00116997509869
349696 683 0.00117015098330014
350208 684 0.00117031541767241
350720 685 0.00117046788721669
351232 686 0.00117060875302529
351744 687 0.00117073788348939
352256 688 0.00117085449859401
352768 689 0.00117095831659873
353280 690 0.00117104929549666
353792 691 0.00117112687096209
354304 692 0.00117119050326749
354816 693 0.00117124007101258
355328 694 0.00117127534816503
355840 695 0.00117129594631392
356352 696 0.00117130185278453
356864 697 0.00117129323361856
357376 698 0.00117127006495614
357888 699 0.00117123258215321
358400 700 0.00117118133485846
358912 701 0.00117111655459845
359424 702 0.00117103836992874
359936 703 0.00117094734732049
360448 704 0.00117084392835567
360960 705 0.00117072800765878
361472 706 0.00117059974065852
361984 707 0.00117045978315122
362496 708 0.00117030820013339
363008 709 0.00117014469684558
363520 710 0.00116996980214582
364032 711 0.00116978408190382
364544 712 0.00116958733199412
365056 713 0.00116937975306647
365568 714 0.00116916231302575
366080 715 0.00116893554632998
366592 716 0.00116869960705386
367104 717 0.00116845527220141
367616 718 0.00116820345719579
368128 719 0.00116794432064678
368640 720 0.0011676779454886
369152 721 0.00116740493300943
369664 722 0.00116712559001526
370176 723 0.00116683993540309
370688 724 0.00116654852278921
371200 725 0.00116625209589509
371712 726 0.00116595121583973
372224 727 0.00116564671230066
372736 728 0.00116533966751771
373248 729 0.00116503097611612
373760 730 0.00116472140856635
374272 731 0.00116441185792219
374784 732 0.00116410295515929
375296 733 0.0011637948050234
375808 734 0.00116348775126763
376320 735 0.00116318245111847
376832 736 0.00116287917630542
377344 737 0.00116257808895457
377856 738 0.00116227994983808
378368 739 0.00116198549564905
378880 740 0.00116169496836976
379392 741 0.00116140901400357
379904 742 0.00116112879348083
380416 743 0.00116085498259171
380928 744 0.0011605879304404
381440 745 0.00116032855805349
381952 746 0.00116007774311713
